Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,API_Confirmed,API_Recovered,API_Deaths,API_FatalityRate,API_LastUpdate
North America,131889132,0.0,1695941,0.0,127665129.0,2528062.0,0,0,0,0,
Asia,221500265,0.0,1553662,0.0,205673091.0,14273512.0,0,0,0,0,
Europe,253406198,0.0,2101824,0.0,248754104.0,2550270.0,0,0,0,0,
South America,70200879,0.0,1367332,0.0,66683585.0,2149962.0,0,0,0,0,
Oceania,14895771,0.0,33015,0.0,14752388.0,110368.0,0,0,0,0,
Africa,12860924,0.0,258892,0.0,12090808.0,511224.0,0,0,0,0,
,721,0.0,15,0.0,706.0,0.0,0,0,0,0,
World,704753890,0.0,7010681,0.0,675619811.0,22123398.0,0,0,0,0,
USA,111820082,0.0,1219487,0.0,109814428.0,786167.0,0,0,0,0,
India,45035393,0.0,533570,0.0,0.0,0.0,0,0,0,0,
France,40138560,0.0,167642,0.0,39970918.0,0.0,0,0,0,0,
Germany,38828995,0.0,183027,0.0,38240600.0,405368.0,0,0,0,0,
Brazil,38743918,0.0,711380,0.0,36249161.0,1783377.0,0,0,0,0,
S. Korea,34571873,0.0,35934,0.0,34535939.0,0.0,0,0,0,0,
Japan,33803572,0.0,74694,0.0,0.0,0.0,0,0,0,0,
Italy,26723249,0.0,196487,0.0,26361218.0,165544.0,0,0,0,0,
UK,24910387,0.0,232112,0.0,24678275.0,0.0,0,0,0,0,
Russia,24124215,0.0,402756,0.0,23545818.0,175641.0,0,0,0,0,
Turkey,17232066,0.0,102174,0.0,0.0,0.0,0,0,0,0,
Spain,13914811,0.0,121760,0.0,13762417.0,30634.0,0,0,0,0,
Australia,11853144,0.0,24414,0.0,11820014.0,8716.0,0,0,0,0,
Vietnam,11625195,0.0,43206,0.0,10640971.0,941018.0,0,0,0,0,
Taiwan,10241523,0.0,19005,0.0,10222518.0,0.0,0,0,0,0,
Argentina,10128845,0.0,130841,0.0,9997258.0,746.0,0,0,0,0,
Netherlands,8635786,0.0,22992,0.0,8612599.0,195.0,0,0,0,0,
Mexico,7702809,0.0,334958,0.0,6899865.0,467986.0,0,0,0,0,
Iran,7627186,0.0,146811,0.0,0.0,0.0,0,0,0,0,
Indonesia,6829221,0.0,162063,0.0,6647104.0,20054.0,0,0,0,0,
Poland,6661991,0.0,120598,0.0,0.0,0.0,0,0,0,0,
Colombia,6400173,0.0,143200,0.0,6212152.0,44821.0,0,0,0,0,
